Entry	Gene names	Subcellular location [CC]
O15318	POLR3G	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20154270, ECO:0000269|PubMed:21898682}. Cytoplasm {ECO:0000250|UniProtKB:Q6NXY9}. Note=Excluded from nucleoli (PubMed:21898682). In zygotes and the 2-cell stage embryos, mainly in the cytoplasm. Starts to localize to the nucleus in the 8-16 cell stage embryo and early blastocysts (By similarity). {ECO:0000250|UniProtKB:Q6NXY9, ECO:0000269|PubMed:21898682}.
O75575	CRCP	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.
Q16518	RPE65	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:A9C3R9}. Cell membrane {ECO:0000269|PubMed:19049981}; Lipid-anchor {ECO:0000269|PubMed:19049981}. Microsome membrane {ECO:0000250|UniProtKB:Q28175}. Note=Attached to the membrane by a lipid anchor when palmitoylated (membrane form), soluble when unpalmitoylated. Undergoes light-dependent intracellular transport to become more concentrated in the central region of the retina pigment epithelium cells. {ECO:0000269|PubMed:19049981, ECO:0000269|PubMed:21493626}.
Q8TEU7	RAPGEF6 PDZGEF2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11524421}. Cell membrane {ECO:0000269|PubMed:11524421}. Note=Upon binding to M-Ras, it translocates to the plasma membrane.
Q8NGR6	OR1B1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9ULW8	PADI3 PAD3 PDI3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:27866708}.
Q9GZK4	OR2H1 OR2H6 OR2H8	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NG83	OR2M3 OR2M3P OR2M6	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q86XR5	PRIMA1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Cell junction {ECO:0000250}. Cell junction, synapse {ECO:0000250}. Note=In the brain, PRIMA linked to ACHE is found in membrane rafts. {ECO:0000250}.
Q96R08	OR5B12 OR5B12P OR5B16	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P0C645	OR4E1 OR4E1P	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGD3	OR4K5	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8IXF0	NPAS3 BHLHE12 MOP6 PASD6	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:12746393}.
Q8NG41	NPB PPL7 PPNPB	SUBCELLULAR LOCATION: Secreted.
Q8NGW1	OR6B3 OR6B3P	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NH79	OR6X1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
O60404	OR10H3	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9GZU5	NYX CLRP	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.
Q96RA2	OR7D2	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGQ1	OR9G4	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGC4	OR10G3	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGE7	OR9K2	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8NGG1	OR8J2 OR8J2P	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8NGE1	OR6C4	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q96SN7	ORAI2 C7orf19 CBCIP2 TMEM142B PP1729	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q8NGS9	OR13C2	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9UGF5	OR14J1 OR5U1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q5W0B1	OBI1 C13orf7 RNF219	SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:31160578}. Note=Association to chromatin is cell cycle-regulated, absent from mitotic chromosomes, is associated with chromatin from G1 and partially released from chromatin from mid S-phase. {ECO:0000269|PubMed:31160578}.
Q8WX93	PALLD KIAA0992 CGI-151	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11598191, ECO:0000269|PubMed:17322171, ECO:0000269|PubMed:17537434}. Cell junction, focal adhesion {ECO:0000269|PubMed:17322171}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:16125169}. Cell projection, ruffle {ECO:0000269|PubMed:17537434}. Cell projection, podosome {ECO:0000250|UniProtKB:P0C5E3}. Cell projection, lamellipodium {ECO:0000269|PubMed:17537434}. Cell projection, axon {ECO:0000250|UniProtKB:P0C5E3}. Cell projection, growth cone {ECO:0000250|UniProtKB:P0C5E3}. Note=Localizes to stress fibers and Z lines (PubMed:11598191, PubMed:16125169, PubMed:17322171, PubMed:17537434). Preferentially expressed in the excitatory presynaptic terminals (By similarity). {ECO:0000250|UniProtKB:P0C5E3, ECO:0000269|PubMed:11598191, ECO:0000269|PubMed:16125169, ECO:0000269|PubMed:17322171, ECO:0000269|PubMed:17537434}.
O15259	NPHP1 NPH1	SUBCELLULAR LOCATION: Cell junction {ECO:0000250|UniProtKB:Q9QY53}. Cell junction, adherens junction {ECO:0000250|UniProtKB:Q9QY53}. Cell projection, cilium {ECO:0000269|PubMed:16885411}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:16308564, ECO:0000269|PubMed:16885411}. Cell junction, tight junction. Note=In the retinal photoreceptor cell layer, localizes at the connecting cilium (By similarity). Colocalizes with E-cadherin and BCAR1 at or near the cell-cell adherens junctions (By similarity). Localized to respiratory cilia axoneme (PubMed:16308564, PubMed:16885411). Localized to the transition zone of respiratory cilia (PubMed:16885411). Localized to the transition zone of photoreceptor-connecting cilia and renal monocilia (By similarity). In cultured renal cells, it localizes diffusely in the cytoplasm but, as cells approach confluence, it accumulates at basolateral tight junctions (By similarity). {ECO:0000250|UniProtKB:Q9QY53, ECO:0000269|PubMed:16308564, ECO:0000269|PubMed:16885411}.
Q6UXH9	PAMR1 RAMP FP938 UNQ699/PRO1344	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
O75200	NPIPB7 NPIPL1	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q9BV86	NTMT1 C9orf32 METTL11A NRMT NRMT1 AD-003	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20668449, ECO:0000269|PubMed:24090352}. Note=Predominantly nuclear (PubMed:24090352).
Q8IZS5	OFCC1 MRDS1	
O75694	NUP155 KIAA0791	SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P37199}. Nucleus membrane {ECO:0000250|UniProtKB:P37199}; Peripheral membrane protein {ECO:0000250|UniProtKB:P37199}; Cytoplasmic side {ECO:0000250|UniProtKB:P37199}. Nucleus membrane {ECO:0000250|UniProtKB:P37199}; Peripheral membrane protein {ECO:0000250|UniProtKB:P37199}; Nucleoplasmic side {ECO:0000250|UniProtKB:P37199}. Note=In mitosis, assumes a diffuse cytoplasmic distribution probably as a monomer, before reversing back into a punctate nuclear surface localization at the end of mitosis. {ECO:0000250|UniProtKB:P37199}.
P59046	NLRP12 NALP12 PYPAF7 RNO	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:30902577}.
O00231	PSMD11	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}.
Q9UN36	NDRG2 KIAA1248 SYLD	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, perinuclear region. Cell projection, growth cone {ECO:0000250}. Note=In neurons, seems to concentrate at axonal growth cone. Perinuclear in neurons (By similarity). {ECO:0000250}.
Q8NDX1	PSD4 EFA6B TIC	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12082148, ECO:0000269|PubMed:23603394}. Cell projection, ruffle membrane {ECO:0000269|PubMed:12082148, ECO:0000269|PubMed:23603394}. Note=In interphase associated with the plasma membrane, in particular with membrane ruffling regions (PubMed:23603394). Accumulates in dynamic actin-rich membrane ruffles and microvilli-like structures (PubMed:12082148). Recruited to membranes via phosphatidylinositol phosphate-binding (Probable). {ECO:0000269|PubMed:12082148, ECO:0000269|PubMed:23603394, ECO:0000305|PubMed:12082148}.
Q9Y3D2	MSRB2 CBS-1 MSRB CGI-131	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:18424444}.
P20929	NEB	SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere. Cytoplasm, cytoskeleton.
Q9UBB6	NCDN KIAA0607	SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cell projection, dendrite. Note=Localizes to somatic regions of neurons.
A6NI72	NCF1B SH3PXD1B	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q15223	NECTIN1 HVEC PRR1 PVRL1	SUBCELLULAR LOCATION: [Isoform Alpha]: Cell membrane; Single-pass type I membrane protein. Cell junction, synapse, presynaptic cell membrane {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform Delta]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform Gamma]: Secreted.
P30990	NTS	SUBCELLULAR LOCATION: Secreted. Cytoplasmic vesicle, secretory vesicle. Note=Packaged within secretory vesicles.
Q13496	MTM1 CG2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10900271, ECO:0000269|PubMed:11001925, ECO:0000269|PubMed:12847286}. Cell membrane; Peripheral membrane protein {ECO:0000269|PubMed:11001925, ECO:0000269|PubMed:12847286}. Cell projection, filopodium {ECO:0000269|PubMed:12118066}. Cell projection, ruffle {ECO:0000269|PubMed:12118066}. Late endosome {ECO:0000269|PubMed:14722070}. Cytoplasm, myofibril, sarcomere {ECO:0000250|UniProtKB:Q9Z2C5}. Note=Localizes as a dense cytoplasmic network (PubMed:11001925). Also localizes to the plasma membrane, including plasma membrane extensions such as filopodia and ruffles (PubMed:12118066). Predominantly located in the cytoplasm following interaction with MTMR12 (PubMed:12847286). Recruited to the late endosome following EGF stimulation (PubMed:14722070). In skeletal muscles, co-localizes with MTMR12 in the sarcomere (By similarity). {ECO:0000250|UniProtKB:Q9Z2C5, ECO:0000269|PubMed:11001925, ECO:0000269|PubMed:12118066, ECO:0000269|PubMed:12847286, ECO:0000269|PubMed:14722070}.
Q9UQ49	NEU3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10861246}; Peripheral membrane protein {ECO:0000269|PubMed:10861246}.
Q502X0	MORN2 MOPT	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q6UL01}. Nucleus {ECO:0000250|UniProtKB:Q6UL01}. Note=Associated with the acrosome during post-meiotic stages of spermatogenesis. Appears to migrate to the nucleus during the final step of spermiogenesis. {ECO:0000250|UniProtKB:Q6UL01}.
Q6PIF6	MYO7B	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}. Cell projection, microvillus {ECO:0000269|PubMed:24725409}. Note=Enriched in the microvilli of the intestinal brush border. {ECO:0000269|PubMed:24725409}.
Q9GZY6	LAT2 LAB NTAL WBS15 WBSCR15 WBSCR5 HSPC046	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12486104, ECO:0000269|PubMed:12514734}; Single-pass type III membrane protein {ECO:0000269|PubMed:12486104, ECO:0000269|PubMed:12514734}. Note=Present in lipid rafts.
Q8WXW3	PIBF1 C13orf24 PIBF	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Cytoplasm {ECO:0000269|PubMed:25218441}. Secreted {ECO:0000269|PubMed:25218441}. Note=In progesterone-treated astrocytoma cells a 57 kDa protein and isoform 1 (90 kDa) have been described, both being located in the intracellular medium and secreted. Respective predominant forms are isoform 1 in the intracellular and the 57 kDa protein in the extracellular medium (PubMed:25218441). {ECO:0000269|PubMed:25218441}.; SUBCELLULAR LOCATION: [Isoform 1]: Nucleus {ECO:0000269|PubMed:14634107, ECO:0000269|PubMed:25218441}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:15305375}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:21224392, ECO:0000269|PubMed:26297806}. Secreted {ECO:0000269|PubMed:25218441}. Note=Localizes to centriolar satellites throughout the cell cycle. {ECO:0000269|PubMed:26297806}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000269|PubMed:14634107, ECO:0000269|PubMed:3863495}. Note=Secreted by progesterone-treated lymphocytes (PubMed:14634107). {ECO:0000269|PubMed:14634107}.
O75170	PPP6R2 KIAA0685 PP6R2 SAPS2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16769727}.
P49247	RPIA RPI	
Q9H611	PIF1 C15orf20	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|HAMAP-Rule:MF_03176, ECO:0000269|PubMed:16522649, ECO:0000269|PubMed:17172855, ECO:0000269|PubMed:17827721}.; SUBCELLULAR LOCATION: [Isoform 4]: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03176, ECO:0000269|PubMed:23275553}.
Q9BYC8	MRPL32 HSPC283	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q9NPH0	ACP6 ACPL1 LPAP UNQ205/PRO231	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:10506173}.
O75394	MRPL33 C2orf1	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q8NEY8	PPHLN1 HSPC206 HSPC232	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12853457, ECO:0000269|PubMed:15474462, ECO:0000269|PubMed:26022416}. Cytoplasm {ECO:0000269|PubMed:12853457}. Chromosome {ECO:0000269|PubMed:26022416}. Note=In undifferentiated keratinocytes expressed in speckle-type nuclear granules and at the nuclear membrane, but in the differentiated keratinocytes colocalized with periplakin at the cell periphery and at cell-cell junctions (PubMed:12853457). Localizes to chromatin (PubMed:26022416). {ECO:0000269|PubMed:12853457, ECO:0000269|PubMed:26022416}.
Q9H9J2	MRPL44	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
P23284	PPIB CYPB	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:1530944}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). {ECO:0000269|PubMed:17081065}.
P30405	PPIF CYP3	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:10406942}.
Q13526	PIN1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16476580, ECO:0000269|PubMed:23623683}. Nucleus speckle {ECO:0000269|PubMed:21497122}. Cytoplasm {ECO:0000269|PubMed:21497122}. Note=Colocalizes with NEK6 in the nucleus (PubMed:16476580). Mainly localized in the nucleus but phosphorylation at Ser-71 by DAPK1 results in inhibition of its nuclear localization (PubMed:21497122). {ECO:0000269|PubMed:16476580}.
P55058	PLTP	SUBCELLULAR LOCATION: Secreted.
A0A0B4J2F0	PIGBOS1	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
O43157	PLXNB1 KIAA0407 PLXN5 SEP	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:12533544}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:10520995}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:10520995}.
O15031	PLXNB2 KIAA0315	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12533544}; Single-pass type I membrane protein {ECO:0000255}.
Q8WUA2	PPIL4	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8IXY8	PPIL6	
Q4U2R6	MRPL51 MRP64 CDA09 HSPC241	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
A2A3N6	PIPSL PSMD4P2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17623810}.
P12273	PIP GCDFP15 GPIP4	SUBCELLULAR LOCATION: Secreted.
Q96EL3	MRPL53	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
A0A0J9YXQ4	PNMA6E	
Q7Z7F7	MRPL55 UNQ5835/PRO19675	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
P28069	POU1F1 GHF1 PIT1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26612202}.
P49593	PPM1F KIAA0015 POPX2	
Q9UKF7	PITPNC1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10531358}.
O15355	PPM1G PPM1C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.
Q96DM3	RMC1 C18orf8 MIC1 WDR98	SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:17897319}. Late endosome membrane {ECO:0000269|PubMed:29038162}.
Q5SGD2	PPM1L PP2CE	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q96LZ7	RMDN2 FAM82A FAM82A1 BLOCK18 UNQ9371/PRO34163	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:18070910}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:18070910}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:18070910}. Note=In interphase localizes in the cytoplasm, and during mitosis localizes to the spindle microtubules and spindle poles. Also detected as large dots in the perinuclear region.
Q96TC7	RMDN3 FAM82A2 FAM82C PTPIP51 hucep-10 UNQ3122/PRO10274	SUBCELLULAR LOCATION: Mitochondrion membrane; Single-pass membrane protein. Mitochondrion outer membrane. Cytoplasm. Nucleus. Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole. Note=In interphase localizes in the cytoplasm, and during mitosis localizes to the spindle microtubules and spindle poles.
Q96MI6	PPM1M PPM1E	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
P78337	PITX1 BFT PTX1	SUBCELLULAR LOCATION: Nucleus.
Q8N819	PPM1N	
O75364	PITX3 PTX3	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000255|PROSITE-ProRule:PRU00138}.
Q9UNA4	POLI RAD30B	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12606586}. Note=Binding to ubiquitin mediates localization to replication forks after UV-induced DNA damage. {ECO:0000250|UniProtKB:Q6R3M4}.
Q96G75	RMND5B UNQ2508/PRO5996	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:25793641}.
Q7Z443	PKD1L3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18535624, ECO:0000269|PubMed:20538909, ECO:0000269|PubMed:23212381}; Multi-pass membrane protein {ECO:0000269|PubMed:18535624, ECO:0000269|PubMed:20538909, ECO:0000269|PubMed:23212381}. Note=Interaction with PKD2L1 is required for localization to the cell membrane.
P42338	PIK3CB PIK3C1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21383062}. Nucleus {ECO:0000269|PubMed:21383062}. Note=Interaction with PIK3R2 is required for nuclear localization and export.
Q3KR16	PLEKHG6	SUBCELLULAR LOCATION: Cell projection, microvillus {ECO:0000269|PubMed:17881735}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:16721066}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:16721066}. Cleavage furrow {ECO:0000269|PubMed:16721066}. Note=During mitosis, localizes to the spindle pole, central spindle and cleavage furrow (PubMed:16721066). In epithelial cells, recruited to the apical membrane by EZR where it participates in macropinocytosis (PubMed:17881735). {ECO:0000269|PubMed:16721066, ECO:0000269|PubMed:17881735}.
Q9H8W4	PLEKHF2 ZFYVE18	SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000269|PubMed:19995552, ECO:0000269|PubMed:22816767}; Peripheral membrane protein {ECO:0000305|PubMed:19995552, ECO:0000305|PubMed:22816767}. Endoplasmic reticulum {ECO:0000269|PubMed:18288467}. Note=Colocalizes with EEA1 and RAB5 at endosomal membrane fusion hot spots (PubMed:19995552). May translocate to the endoplasmic reticulum in the early phase of apoptosis (PubMed:18288467). {ECO:0000269|PubMed:18288467, ECO:0000269|PubMed:19995552}.
Q9Y2H5	PLEKHA6 KIAA0969 PEPP3	
Q9H7J1	PPP1R3E	
Q96PX9	PLEKHG4B KIAA1909	
Q86WI1	PKHD1L1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q7Z4L9	PPP1R42 LRRC67	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8R1Z4}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q8R1Z4}. Note=Colocalizes with alpha tubulin to the manchette of developing spermatids. Detected to nuclear rim in pachytene spermatocytes. Detected at nuclear surface, opposite the acrosome in elongating spermatids. Detected at the microtubule-organizing center (MTOC). Localized to the centrosomal region of late-stage spermatids (By similarity). {ECO:0000250|UniProtKB:Q8R1Z4}.
Q15165	PON2	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:11579088}; Peripheral membrane protein {ECO:0000269|PubMed:11579088}.
Q6PEZ8	PODNL1 SLRR5B	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q6P3Y9}.
Q5M7Z0	RNFT1 PTD016	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:27485036}; Multi-pass membrane protein {ECO:0000305}.
O60930	RNASEH1 RNH1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
Q9BQ52	ELAC2 HPC2	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:21593607}. Nucleus {ECO:0000269|PubMed:21593607}. Note=Mainly mitochondrial.
O95460	MATN4	SUBCELLULAR LOCATION: Secreted.
P78344	EIF4G2 DAP5 OK/SW-cl.75	
Q8ND30	PPFIBP2	
O00470	MEIS1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.
Q16552	IL17A CTLA8 IL17	SUBCELLULAR LOCATION: Secreted.
O14602	EIF1AY	
Q16566	CAMK4 CAMK CAMK-GR CAMKIV	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Localized in hippocampal neuron nuclei. In spermatids, associated with chromatin and nuclear matrix (By similarity). {ECO:0000250}.
Q6L8G9	KRTAP5-6 KAP5.6 KRTAP5.6	
Q9BYQ2	KRTAP9-4 KAP9.4 KRTAP9.4	
Q1X8D7	LRRC36 RORBP70	
O60506	SYNCRIP HNRPQ NSAP1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11574476, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:19029303}. Microsome {ECO:0000250|UniProtKB:Q7TMK9}. Endoplasmic reticulum {ECO:0000250}. Nucleus {ECO:0000250|UniProtKB:Q7TMK9}. Note=The tyrosine phosphorylated form bound to RNA is found in microsomes (By similarity). Localized in cytoplasmic mRNP granules containing untranslated mRNAs (By similarity). {ECO:0000250|UniProtKB:O43390, ECO:0000250|UniProtKB:Q7TMK9}.; SUBCELLULAR LOCATION: [Isoform 1]: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q7TMK9}. Note=Expressed predominantly in the nucleoplasm. {ECO:0000250|UniProtKB:Q7TMK9}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q7TMK9}. Note=Expressed predominantly in the nucleoplasm. {ECO:0000250|UniProtKB:Q7TMK9}.; SUBCELLULAR LOCATION: [Isoform 3]: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q7TMK9}. Note=Expressed predominantly in the nucleoplasm. {ECO:0000250|UniProtKB:Q7TMK9}.
Q6PIU1	KCNV1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8670833, ECO:0000269|PubMed:9079713}; Multi-pass membrane protein {ECO:0000269|PubMed:8670833, ECO:0000269|PubMed:9079713}. Note=Has to be associated with another potassium channel subunit to get inserted in the plasma membrane. Remains intracellular in the absence of KCNB2.
Q6DRA6	HIST2H2BD	SUBCELLULAR LOCATION: Nucleus. Chromosome.
Q05C16	LRRC63	
Q5QNW6	HIST2H2BF	SUBCELLULAR LOCATION: Nucleus. Chromosome.
P80192	MAP3K9 MLK1 PRKE1	
A6NK06	ACOD1 IRG1	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.
Q9H2W1	MS4A6A 4SPAN3 CD20L3 MS4A6 CDA01 MSTP090	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q5VXJ0	LIPK LIPL2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
P49641	MAN2A2 MANA2X	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q86YM7	HOMER1 SYN47	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell junction, synapse, postsynaptic density {ECO:0000250}. Cell junction, synapse {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q9Z214}. Note=Isoform 1 inhibits surface expression of GRM5 causing it to be retained in the endoplasmic reticulum. {ECO:0000250}.
A2NJV5	IGKV2-29	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
Q9H9P8	L2HGDH C14orf160	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:16005139}.
Q9Y6C7	LINC00312 LOH3CR2A NCRNA00312 NAG7	
Q5DT21	SPINK9 LEKTI2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
P43360	MAGEA6 MAGE6	
P0C1H6	H2BW2 H2BFM	SUBCELLULAR LOCATION: Nucleus. Chromosome.
Q96M61	MAGEB18	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8BQR7}.
Q5VWC8	HACD4 PTPLAD2	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18554506}; Multi-pass membrane protein {ECO:0000269|PubMed:18554506}.
